DL_bitrate_SMOOTH,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
7216.6,70,0.0
7166.0,70,0.0
7897.0,71,0.0
9486.4,72,0.0
12262.2,72,0.0
15178.8,73,0.0
11479.6,74,0.0
8672.0,75,0.0
3919.4,78,0.0
5029.8,79,0.0
6425.6,80,0.0
7975.4,81,0.0
8099.2,82,0.0
7973.0,83,0.0
8056.6,84,0.0
7086.2,85,0.0
5392.0,86,0.0
2725.6,86,0.0
1754.4,84,0.0
3342.6,83,0.0
4910.8,82,0.0
5836.0,80,0.0
7513.6,79,0.0
10516.0,77,0.0
12719.8,75,0.0
15608.0,73,0.0
13646.6,72,0.0
10732.6,70,0.0
9370.0,69,0.0
5644.6,67,0.0
7408.8,67,0.0
8448.0,67,0.0
7719.6,67,0.0
7860.4,67,0.0
10285.0,67,0.0
15641.2,67,0.0
14696.4,67,0.0
19294.8,67,0.0
23024.0,67,0.0
24685.4,67,0.0
17183.0,67,0.0
10461.2,68,0.0
6603.8,68,0.0
7419.8,68,0.0
5945.4,69,0.0
4907.6,69,0.0
5465.8,69,0.0
5662.8,70,0.0
6629.6,70,0.0
6597.6,70,0.0
4008.0,71,0.0
3790.6,71,0.0
5902.8,71,0.0
9162.2,71,0.0
12160.8,71,0.0
13571.0,71,0.0
13860.4,71,0.0
14009.6,70,0.0
13429.0,70,0.0
11379.0,70,0.0
10396.8,70,0.0
7981.2,70,0.0
5717.6,70,0.0
5928.2,70,3.3
6866.4,70,6.7
8545.6,70,13.3
8399.2,70,16.7
8835.0,70,20.0
7393.6,70,23.3
7193.0,70,26.7
6804.8,70,30.0
7070.0,70,33.3
5977.8,70,36.7
5480.2,70,40.0
3956.2,70,43.3
3808.6,70,46.7
8219.8,71,46.7
12437.2,72,43.3
16654.6,73,40.0
18946.0,74,36.7
19202.8,75,33.3
19767.2,76,30.0
19323.2,77,26.7
19775.8,78,23.3
19547.6,79,20.0
20387.8,80,16.7
21343.2,81,13.3
17777.6,82,10.0
13315.4,83,6.7
11051.2,84,3.3
8590.2,85,0.0
13304.0,85,0.0
18804.0,86,0.0
23336.4,86,0.0
26906.4,87,0.0
28160.4,87,0.0
31344.8,88,0.0
30999.0,89,0.0
27430.6,89,0.0
21027.6,90,0.0
14562.8,90,0.0
7213.8,91,0.0
2341.2,91,0.0
2356.0,92,0.0
2923.2,92,0.0
3149.4,92,0.0
4851.6,92,0.0
6476.6,92,0.0
6568.0,93,0.0
6757.2,93,0.0
8790.2,93,0.0
8001.8,93,0.0
5610.6,93,0.0
5108.2,93,0.0
5068.0,93,0.0
4282.4,92,0.0
6082.0,91,0.0
7762.0,90,0.0
8843.2,89,0.0
8875.4,88,0.0
9208.2,87,0.0
9564.6,86,0.0
9694.4,84,0.0
9706.6,83,0.0
10231.4,82,0.0
8115.6,81,0.0
5959.6,80,0.0
4676.0,79,0.0
6060.0,77,0.0
14506.2,77,0.0
22952.4,77,0.0
29917.2,77,0.0
34858.0,77,0.0
39996.8,77,0.0
40218.6,77,0.0
38665.6,78,0.0
39167.4,78,0.0
40445.2,78,0.0
40709.6,78,0.0
32568.4,78,0.0
26202.0,78,0.0
18649.2,78,0.0
6218.2,78,0.0
8250.0,78,0.0
12668.8,78,0.0
22421.8,78,0.0
30515.8,78,0.0
38502.8,78,0.0
45408.6,78,0.0
50883.0,78,0.0
38166.6,78,0.0
27763.8,78,0.0
18629.6,78,0.0
9245.6,78,0.0
15611.6,78,0.0
21977.6,78,0.0
27991.6,79,0.0
31456.2,79,0.0
29099.2,79,0.0
28099.4,80,0.0
28000.8,80,0.0
22798.4,80,0.0
19049.2,80,0.0
13137.0,81,0.0
8578.6,81,0.0
6501.2,81,0.0
8470.2,80,0.0
10360.6,80,0.0
11958.0,80,0.0
12165.4,79,0.0
12256.6,79,0.0
12194.4,78,0.0
12118.4,78,0.0
9630.8,77,0.0
7143.2,77,0.0
5016.0,76,0.0
4836.4,76,0.0
7337.2,76,0.0
11609.0,76,0.0
11850.2,77,0.0
